Recipient	Events
ERR129090	13
ERR068020	13
ERR067977	13
ERR069715	13
ERR069683	12
ERR069731	10
ERR129126	11
ERR124265	7
ERR129113	11
ERR065347	10
ERR068013	11
ERR124304	11
ERR124282	11
ERR129058	11
ERR069764	15
ERR129045	21
ERR129047	13
ERR068030	19
ERR068025	14
ERR069811	14
ERR129152	13
ERR065327	12
ERR129039	11
ERR124232	10
ERR067994	10
ERR124254	11
ERR065298	10
ERR129203	10
ERR124264	9
ERR067997	8
ERR069766	8
ERR129169	8
ERR124317	9
ERR065974	24
ERR065341	20
ERR129130	20
ERR065965	19
ERR124278	19
ERR065289	17
ERR065296	16
ERR069831	14
ERR129160	14
ERR124284	11
ERR129118	11
ERR069753	10
ERR069776	12
ERR069794	11
ERR124285	10
ERR065325	18
ERR065960	18
ERR129050	15
ERR129212	22
ERR069748	19
ERR069689	18
ERR129180	18
ERR068006	17
ERR069832	18
ERR069716	17
ERR069750	17
ERR129102	25
ERR065305	12
ERR069795	12
ERR068008	15
ERR129129	10
ERR069796	14
ERR069771	14
ERR065970	11
ERR065972	11
ERR129063	13
ERR065287	11
ERR124229	10
ERR129149	10
ERR069833	10
ERR129140	15
ERR124315	14
ERR069751	11
ERR069687	10
ERR069817	11
ERR129207	9
ERR129170	11
ERR068044	12
ERR129112	12
ERR068017	12
ERR124269	12
ERR069717	12
ERR067974	11
ERR129108	13
ERR069711	10
ERR129059	15
ERR067960	10
ERR068050	13
ERR129032	9
ERR065317	11
ERR069774	8
ERR069829	9
ERR129120	13
ERR129197	12
ERR069696	12
ERR129072	12
ERR067984	12
ERR068045	10
ERR069781	12
ERR129186	9
ERR069805	12
ERR124220	10
ERR129183	10
ERR068034	10
ERR069691	10
ERR129153	12
ERR124281	10
ERR124226	17
ERR069769	17
ERR129137	7
ERR129071	21
ERR065953	16
ERR069701	17
ERR067983	13
ERR067989	15
ERR124230	17
ERR068027	12
ERR129106	13
ERR129116	12
ERR065311	12
ERR065322	9
ERR067973	9
ERR129141	11
ERR129044	17
ERR129194	13
ERR124252	19
ERR129105	12
ERR129195	11
ERR065301	12
ERR065342	14
ERR067998	11
ERR124320	13
ERR069818	11
ERR069714	11
ERR129053	9
ERR069799	10
ERR124228	23
ERR067961	22
ERR124292	21
ERR124312	21
ERR069718	20
ERR124224	19
ERR124243	18
ERR124276	18
ERR129067	17
ERR129073	17
ERR129181	18
ERR069745	12
ERR129142	13
ERR129209	10
ERR069761	11
ERR129046	8
ERR068011	10
ERR065288	7
ERR129091	7
ERR129121	10
ERR129123	9
ERR124234	10
ERR129125	10
ERR065328	11
ERR069758	8
ERR124280	11
ERR129033	7
ERR069684	10
ERR068024	9
ERR065323	9
ERR124270	9
ERR069823	21
ERR067964	15
ERR069835	19
ERR069746	18
ERR069812	18
ERR065292	18
ERR065967	17
ERR065344	17
ERR065962	17
ERR069755	16
ERR069765	16
ERR124231	17
ERR069732	12
ERR065330	16
ERR069719	16
ERR069770	16
ERR069721	16
ERR069740	16
ERR069738	15
ERR124247	23
ERR065315	12
ERR069739	8
ERR069695	7
ERR129027	17
ERR069815	16
ERR124218	13
ERR124306	9
ERR065312	9
ERR065957	20
ERR065332	18
ERR069725	15
ERR129026	16
ERR069698	19
ERR124274	18
ERR124283	15
ERR065293	14
ERR124221	16
ERR068026	15
ERR065297	15
ERR129061	16
ERR065320	15
ERR069724	14
ERR124249	14
ERR129198	14
ERR067978	17
ERR068032	15
ERR124239	13
ERR068028	12
ERR124272	16
ERR124300	12
ERR069785	16
ERR069797	13
ERR069821	13
ERR069700	20
ERR067966	18
ERR067969	18
ERR124314	18
ERR069787	18
ERR069744	16
ERR069825	20
ERR129128	16
ERR069763	16
ERR069747	16
ERR124303	15
ERR065963	15
ERR069814	14
ERR068007	14
ERR124257	17
ERR069789	13
ERR068021	10
ERR129185	14
ERR067972	13
ERR068005	17
ERR124223	16
ERR069759	15
ERR069741	15
ERR067979	15
ERR065294	20
ERR124267	8
ERR129081	7
ERR129175	8
ERR124263	8
ERR069704	10
ERR129025	10
ERR129034	11
ERR069828	10
ERR124225	7
ERR065291	6
ERR129174	9
ERR065337	8
ERR124251	7
ERR065975	7
ERR068038	7
ERR069705	9
ERR124313	9
ERR129190	7
ERR065340	7
ERR065319	9
ERR129064	21
ERR129028	12
ERR129083	10
ERR129216	10
ERR129136	10
ERR129202	10
ERR129138	9
ERR129103	11
ERR129030	9
ERR129037	8
ERR067985	7
ERR065326	6
ERR069713	6
ERR129127	7
ERR069727	7
ERR069752	7
ERR129214	7
ERR068046	6
ERR129215	7
ERR129159	7
ERR129154	5
ERR068040	5
ERR067986	5
ERR124291	5
ERR069822	5
ERR065310	5
ERR124302	6
ERR129210	5
ERR124296	5
ERR068041	6
ERR069801	7
ERR129080	5
ERR124268	6
ERR069760	5
ERR129131	5
ERR069804	5
ERR129068	5
ERR129079	5
ERR124246	6
ERR129139	5
ERR124240	5
ERR069707	6
ERR068047	5
ERR129178	5
ERR067968	5
ERR129177	5
ERR069839	6
ERR124242	5
ERR065308	5
ERR069702	8
ERR065964	6
ERR069837	5
ERR068000	6
ERR129093	6
ERR129211	6
ERR124298	6
ERR124295	7
ERR069840	17
ERR069808	16
ERR129196	14
ERR129144	12
ERR129077	10
ERR068010	11
ERR129182	11
ERR124222	18
ERR129075	16
ERR069843	15
ERR065973	14
ERR069720	14
ERR068035	14
ERR129062	15
ERR124233	13
ERR068036	13
ERR129036	9
ERR129031	9
ERR129049	9
ERR067990	10
ERR069762	10
ERR067999	10
ERR129193	9
ERR068037	14
ERR069686	13
ERR069688	12
ERR067996	12
ERR065343	12
ERR067995	12
ERR065338	12
ERR069778	9
ERR124318	9
ERR067987	13
ERR124271	17
ERR065299	13
ERR129060	13
ERR068049	13
ERR129041	16
ERR124289	15
ERR124309	14
ERR129184	15
ERR065318	13
ERR129096	10
ERR124307	10
ERR129204	10
ERR124248	8
ERR069767	8
ERR124260	9
ERR129156	8
ERR069836	8
ERR067965	8
ERR069783	8
ERR129110	13
ERR124301	14
ERR069728	14
ERR124290	15
ERR129119	14
ERR124273	14
ERR129173	13
ERR069733	14
ERR129104	14
ERR067963	14
ERR067970	16
ERR067992	14
ERR124275	14
ERR129089	14
ERR068033	14
ERR069722	16
ERR065349	15
ERR068022	15
ERR065309	13
ERR129111	12
ERR124253	10
ERR065316	12
ERR124217	11
ERR069757	9
ERR068042	13
ERR129054	11
ERR124310	13
ERR129115	15
ERR129048	11
ERR069737	14
ERR129199	9
ERR124237	10
ERR129201	8
ERR124305	10
ERR124266	10
ERR129145	8
