Donor_Group	Recip_Group	Frag_Length	Gene	Recipient_strains
12	9	38	alaS	ERR129065,ERR129029,ERR124287,ERR129146,ERR129052,ERR129076,ERR129055,ERR069830,ERR124219,ERR069800,ERR065966,ERR067976,ERR065307,ERR069790,ERR065355,ERR069777,ERR069807,ERR065306,ERR065313,ERR129082,ERR069743,ERR067980,ERR065955,ERR129205,ERR129192,ERR069736,ERR129098,ERR065339,ERR065331,ERR129133,ERR129171
12	16c	609	alaS	ERR068014,ERR129187,ERR129094,ERR069792,ERR068031,ERR065354,ERR129206,ERR069692,ERR069723,ERR069697,ERR124258,ERR069810,ERR068009,ERR129095
12	16h	38	alaS	ERR129162,ERR065958
12	16d	609	alaS	ERR069735,ERR069819,ERR065295,ERR069782,ERR069813,ERR069838
16g	6	1511	alaS	ERR069786,ERR129176,ERR124319,ERR129117,ERR069685,ERR129213,ERR129042,ERR124235,ERR129157,ERR124288,ERR069708,ERR129167,ERR069798,ERR124308,ERR129043,ERR065971,ERR124227,ERR129168,ERR065303,ERR068023,ERR129172,ERR124294
12	16b	609	alaS	ERR069824,ERR069729,ERR124311,ERR129057,ERR069772,ERR069806,ERR129151,ERR069730,ERR065290,ERR129135,ERR069816,ERR065956
12	16g	609	alaS	ERR068016,ERR129066,ERR065304,ERR065959,ERR069742,ERR067991,ERR129038,ERR065352
16g	16g	1511	alaS	ERR124244
12	9	609	alaS	ERR069826,ERR069780
12	15	609	alaS	ERR069706,ERR068003,ERR069791,ERR065314,ERR069842,ERR129078,ERR069699,ERR069793
12	16e	609	alaS	ERR067975
12	16h	609	alaS	ERR067982
16g	15	1511	alaS	ERR124255
9	16g	19	srlR	ERR069742,ERR065294,ERR065352
10	1	247	group_1733	ERR124256,ERR069809,ERR068048,ERR065350,ERR069731,ERR065347,ERR129201
1	16a	123	bbmA_1	ERR124257,ERR129185
12	2	190	glyA	ERR129037,ERR067985,ERR069713,ERR129127
11	1	181	glyA	ERR124231
12	7	190	glyA	ERR124228
12	10	190	glyA	ERR068025,ERR069811,ERR129152,ERR124310
6	16g	414	strH	ERR069742
6	16b	414	strH	ERR069824,ERR069729,ERR069772,ERR069806,ERR069730,ERR069816,ERR065956
6	1	414	strH	ERR069740
16g	6	222	group_2933	ERR068030
16c	16g	118	group_2933	ERR065352
16d	16b	11	gspF	ERR065315,ERR069739,ERR069695
16d	5	349	gspF	ERR129196,ERR129105,ERR129195,ERR065301
16d	1	349	gspF	ERR124285
16d	16c	349	gspF	ERR124271,ERR129041,ERR124289,ERR124309,ERR129184
16d	9	349	gspF	ERR124287,ERR129146
9	8	153	ddl	ERR068008,ERR069796,ERR069771,ERR129063,ERR129140,ERR069831,ERR124315,ERR069817,ERR129160,ERR129112,ERR068017,ERR124269,ERR069717,ERR129108,ERR129059,ERR129120,ERR129197,ERR069696,ERR129072,ERR067984,ERR069781,ERR069805,ERR129153,ERR069745,ERR129142,ERR124284,ERR129025,ERR129209,ERR129123,ERR124234,ERR065328,ERR069684,ERR069753,ERR124295,ERR068024,ERR065323,ERR124270
12	12	116	iolU	ERR067993,ERR069803,ERR069841
2	14	92	group_661	ERR129128,ERR069700,ERR067966,ERR067969,ERR124314,ERR069787,ERR069744,ERR069825,ERR069763,ERR069747,ERR124303,ERR065963
9	16d	133	group_661	ERR069819,ERR065295,ERR069782,ERR069813,ERR065957,ERR069838
2	16f	92	group_661	ERR129064
9	9	133	group_661	ERR065306,ERR129192
2	16d	92	group_661	ERR069819,ERR065295,ERR069782,ERR069813,ERR065957,ERR069838
9	16c	133	group_661	ERR129110
15	16h	13	group_22	ERR065958
15	10	28	group_22	ERR124232,ERR065298,ERR124264
15	16b	13	group_22	ERR065290
16c	16g	318	bglK_1	ERR069742,ERR065294,ERR065352
12	6	99	bglK_1	ERR124319,ERR124288,ERR124297,ERR124286
12	9	99	bglK_1	ERR065955
15	6	259	bglK_1	ERR124319,ERR124288,ERR124297,ERR124286
16a	6	1	group_268	ERR069708,ERR065303
16a	6	4	group_268	ERR069708,ERR065303
16a	6	96	group_268	ERR069708,ERR065303
16a	6	55	group_268	ERR069708,ERR065303
16b	1	143	group_1385	ERR124256,ERR069809,ERR068048,ERR065350,ERR069731,ERR065347,ERR129201
16b	16c	143	group_1385	ERR129044,ERR129194
16c	2	57	group_1385	ERR129037,ERR067985,ERR065326,ERR069713,ERR129127,ERR069727,ERR069752,ERR129214,ERR068046,ERR129215,ERR129159,ERR129154,ERR068040,ERR067986,ERR124291,ERR069822,ERR065310,ERR124302,ERR129210,ERR124296,ERR068041,ERR069801,ERR129080,ERR124268,ERR069760,ERR129131,ERR129068,ERR129079,ERR124246,ERR129139,ERR124240,ERR069707,ERR068047,ERR129178,ERR067968,ERR129177,ERR124242,ERR065308,ERR069702,ERR065964,ERR069837,ERR129093,ERR129211,ERR124298
16c	16a	57	group_1385	ERR069814,ERR068007,ERR124257,ERR069789,ERR068021,ERR129185,ERR067972
3	6	74	group_41	ERR069693
8	16b	275	group_397	ERR069729,ERR069730
12	16c	115	hisS	ERR124247
8	3	76	group_57	ERR065293,ERR065297
16d	16b	314	group_2109	ERR069824,ERR129102,ERR069729,ERR069772,ERR069806,ERR129071,ERR069730,ERR069816,ERR065956
16d	16c	314	group_2109	ERR069722,ERR065349,ERR068022
16d	5	314	group_2109	ERR129105,ERR129196,ERR129195,ERR065301,ERR065342,ERR129144,ERR129077,ERR067998,ERR124320,ERR069818,ERR069714,ERR129053,ERR068010,ERR129182,ERR069799
16g	16c	76	nagC_1	ERR069820,ERR129084
8	16c	286	group_810	ERR069764,ERR129110
16c	16c	103	group_810	ERR129110
1	16c	161	group_810	ERR129084
9	9	194	group_60	ERR129116
11	16a	24	group_60	ERR069789,ERR068021
9	16c	194	group_60	ERR129047
9	9	84	group_60	ERR129122
11	9	103	group_60	ERR069802,ERR129147,ERR065345,ERR065346,ERR129122
11	9	24	group_60	ERR129065
16g	16c	17	tenA_2	ERR129187,ERR129047
16a	10	33	rnj1	ERR068025,ERR069811,ERR129152,ERR065327,ERR129039,ERR124232,ERR067994,ERR124254,ERR065298,ERR129203,ERR124264,ERR067997,ERR069766,ERR129169,ERR124317
16a	6	33	rnj1	ERR124319,ERR124288,ERR124294,ERR124297,ERR124286
12	10	17	group_966	ERR124305
12	16b	17	group_966	ERR069772,ERR069806,ERR069816
16b	16f	19	nfrA2	ERR069840
7	16g	67	panT	ERR069742,ERR065294,ERR065352
12	16c	19	group_2796	ERR069820,ERR129084
12	16b	19	group_2796	ERR124311,ERR129057,ERR065290,ERR129135
13	3	105	group_531	ERR065332,ERR065293,ERR065320,ERR129198
13	8	105	group_531	ERR129091
13	9	105	group_531	ERR129065,ERR065311,ERR065355,ERR069777,ERR069807,ERR069743,ERR065339
13	16g	105	group_531	ERR124244
16c	16g	7	uvrC	ERR069742,ERR065294,ERR065352
2	12	359	uvrC	ERR065974
11	6	1848	uvrC	ERR069685,ERR069798,ERR065971,ERR129168,ERR129172,ERR065969,ERR069779
2	16a	359	uvrC	ERR069789,ERR069814,ERR068007,ERR068021
11	16b	1848	uvrC	ERR129151,ERR124311,ERR129057,ERR065290,ERR129135
11	5	1848	uvrC	ERR065342
2	6	359	uvrC	ERR069786
11	12	1848	uvrC	ERR065974,ERR065974,ERR065974,ERR065341,ERR129130
2	10	359	uvrC	ERR068025,ERR069811,ERR129152,ERR065327,ERR129039,ERR124232,ERR067994,ERR124254,ERR065298,ERR129203,ERR124264,ERR067997,ERR129169,ERR124317
11	16c	1848	uvrC	ERR129187,ERR065325,ERR065960,ERR069737,ERR129050,ERR129045,ERR065299
11	16f	1848	uvrC	ERR124226,ERR124226,ERR124226
2	16c	359	uvrC	ERR129187,ERR129047
11	1	1848	uvrC	ERR124256,ERR124256,ERR069809,ERR068048,ERR065350,ERR069731,ERR065347,ERR129201
11	16g	1848	uvrC	ERR124244,ERR124244
11	4	1848	uvrC	ERR069738,ERR068037,ERR129096,ERR069686,ERR069688,ERR124307,ERR129204,ERR067996,ERR065343,ERR067995,ERR124248,ERR065338,ERR069767,ERR124260,ERR069778,ERR129156,ERR069836,ERR067965,ERR124318,ERR069783,ERR067987
11	16f	99	tcyA	ERR069840
11	1	99	tcyA	ERR124256,ERR069809,ERR068048,ERR129164,ERR129088,ERR065350,ERR067981,ERR129158,ERR068012,ERR069683,ERR069731,ERR065347,ERR129199,ERR129201
11	16g	99	tcyA	ERR068016,ERR065304,ERR065959,ERR067991,ERR124230
12	10	99	tcyA	ERR068025,ERR069811,ERR129152,ERR065327,ERR129039,ERR124232,ERR067994,ERR124254,ERR065298,ERR129203,ERR124264,ERR067997,ERR069766,ERR129169,ERR124317
12	15	99	tcyA	ERR069706,ERR068003,ERR069791,ERR065314,ERR069842,ERR129078,ERR069699,ERR069793,ERR069762,ERR067999
12	2	99	tcyA	ERR069801
12	16g	99	tcyA	ERR129066,ERR129038
12	11	99	tcyA	ERR069703,ERR068029
11	16b	99	tcyA	ERR129102,ERR129071
12	4	99	tcyA	ERR069738,ERR129096,ERR069686,ERR124307,ERR129204,ERR067995,ERR124248,ERR065338,ERR069767,ERR124260,ERR129156,ERR069836,ERR067965,ERR069783,ERR067987
11	11	99	tcyA	ERR129179,ERR124241,ERR124293,ERR067962,ERR129148,ERR069749,ERR124277,ERR129074,ERR065300,ERR065324,ERR065329,ERR129200,ERR068019,ERR129099,ERR124250,ERR124316,ERR069726,ERR129143,ERR124299,ERR068002,ERR124236,ERR124279,ERR129163,ERR129134,ERR067988,ERR129035,ERR124301,ERR069728,ERR124290,ERR129119,ERR124273,ERR129173,ERR069733,ERR129104,ERR067963,ERR067970,ERR067992,ERR124275,ERR129089,ERR068033
12	16c	99	tcyA	ERR069737,ERR129110
12	7	99	tcyA	ERR124228,ERR067961,ERR124292,ERR124312,ERR069718,ERR124224,ERR124243,ERR124276,ERR129067,ERR129073
11	16c	99	tcyA	ERR124247
11	3	99	tcyA	ERR065332,ERR069725,ERR129026,ERR069698,ERR124274,ERR124283,ERR065293,ERR124221,ERR068026,ERR065297,ERR129061,ERR065320,ERR069724,ERR068042,ERR124249,ERR129198,ERR067978,ERR068032,ERR124239,ERR068028,ERR124272,ERR124300,ERR129054,ERR129060,ERR068049
12	14	99	tcyA	ERR069700,ERR067966,ERR067969,ERR124314,ERR069787,ERR069744,ERR069825,ERR129128,ERR069763,ERR069747,ERR124303,ERR065963
12	16a	99	tcyA	ERR069814,ERR068007,ERR124257,ERR069789,ERR068021,ERR129185,ERR067972
12	1	99	tcyA	ERR129126
11	12	99	tcyA	ERR069803
12	6	99	tcyA	ERR069786,ERR129176,ERR124319,ERR129117,ERR069685,ERR129213,ERR129042,ERR124235,ERR129157,ERR124288,ERR069708,ERR129167,ERR069798,ERR124308,ERR129043,ERR065971,ERR124227,ERR129168,ERR065303,ERR068023,ERR129172,ERR124294,ERR068030,ERR065969,ERR069693,ERR069779,ERR124297,ERR124286
12	9	99	tcyA	ERR129065,ERR129029,ERR069826,ERR129107,ERR124287,ERR129155,ERR129146,ERR129052,ERR129076,ERR129055,ERR069780,ERR068027,ERR069802,ERR129106,ERR129116,ERR069830,ERR129147,ERR124219,ERR065345,ERR069800,ERR065311,ERR067967,ERR065966,ERR067976,ERR065307,ERR069790,ERR068015,ERR065355,ERR069777,ERR069807,ERR065346,ERR065306,ERR065313,ERR129082,ERR069743,ERR067980,ERR065955,ERR065322,ERR129205,ERR069694,ERR129192,ERR069736,ERR129098,ERR065339,ERR124238,ERR067973,ERR065331,ERR129141,ERR129133,ERR129171,ERR129122
7	16c	80	pheA	ERR065325,ERR065960,ERR069737,ERR129050,ERR065299
7	11	80	pheA	ERR129179,ERR124241,ERR124293,ERR069703,ERR129087,ERR067962,ERR129148,ERR069749,ERR124277,ERR129074,ERR065300,ERR065324,ERR065329,ERR129200,ERR068019,ERR129099,ERR124250,ERR124316,ERR129086,ERR069834,ERR069726,ERR129143,ERR124299,ERR068002,ERR124236,ERR068029,ERR124279,ERR129163,ERR129134,ERR065351,ERR067988,ERR129035,ERR124301,ERR069728,ERR124290,ERR129119,ERR124273,ERR129173,ERR069733,ERR129104,ERR067963,ERR067970,ERR067992,ERR124275,ERR129089,ERR068033
16c	12	4447	group_4292	ERR069803
15	16b	230	manZ_2	ERR069739
12	2	571	group_230	ERR129178
12	16f	571	group_230	ERR069840
12	16b	571	group_230	ERR129102
12	1	571	group_230	ERR067964
12	12	571	group_230	ERR069841
12	15	571	group_230	ERR069720,ERR069699
12	5	571	group_230	ERR129105,ERR129077
12	7	571	group_230	ERR069718
12	16a	571	group_230	ERR068007
12	6	571	group_230	ERR069786,ERR068030
12	8	571	group_230	ERR129129,ERR124229,ERR129149,ERR129046,ERR124251
13	6	575	group_154	ERR069786,ERR129176,ERR129117,ERR069685,ERR129213,ERR129042,ERR129157,ERR124288,ERR068023,ERR129172
16g	16g	533	group_154	ERR068016,ERR065959
8	16b	41	group_3480	ERR129216
8	2	41	group_3480	ERR069752,ERR068040,ERR067986,ERR068041,ERR067968,ERR065308,ERR069837
1	16b	26	ecfT_2	ERR129151,ERR069815
1	12	26	ecfT_2	ERR067993,ERR069803,ERR069841
1	16c	26	ecfT_2	ERR069764,ERR068014,ERR129094,ERR069792,ERR068031,ERR065354,ERR129206,ERR069692,ERR069723,ERR069722,ERR069697,ERR065349,ERR069810,ERR068009,ERR068022,ERR129095
1	16f	26	ecfT_2	ERR124226,ERR069769
1	3	26	ecfT_2	ERR065332,ERR069725,ERR129026,ERR069698,ERR124274,ERR124283,ERR065293,ERR124221,ERR068026,ERR065297,ERR129061,ERR065320,ERR069724,ERR068042,ERR124249,ERR129198,ERR067978,ERR068032,ERR124239,ERR068028,ERR124272,ERR124300,ERR129054,ERR129060,ERR068049
6	16g	63	rsmH	ERR124244
9	15	61	rsmH	ERR068035
6	3	63	rsmH	ERR069698,ERR124221
9	8	61	rsmH	ERR129118
6	12	26	rsmH	ERR067993
12	6	450	rsmH	ERR124235
10	8	59	group_538	ERR067974,ERR129174
16c	6	378	deoD_1	ERR069786,ERR124319,ERR124288,ERR124294,ERR124297,ERR124286
16c	16c	378	deoD_1	ERR124271,ERR069773,ERR065302,ERR129040,ERR068039,ERR129124,ERR065321,ERR129188,ERR129056,ERR069775
6	16d	45	group_1374	ERR065295,ERR069813
6	6	45	group_1374	ERR129172
6	14	45	group_1374	ERR069700
11	1	658	group_1609	ERR069690
10	1	31	tmk	ERR069823,ERR124256,ERR069712,ERR069809,ERR068048,ERR129164,ERR069835,ERR129088,ERR065350,ERR067981,ERR129051,ERR069746,ERR065968,ERR129158,ERR069812,ERR068012,ERR129132,ERR065292,ERR069690,ERR068018,ERR069768,ERR065967,ERR129090,ERR065344,ERR068020,ERR067977,ERR069715,ERR069683,ERR065962,ERR069731,ERR069755,ERR124285,ERR129126,ERR069765,ERR129113,ERR065347,ERR068013,ERR124231,ERR124304,ERR124282,ERR069732,ERR129058,ERR065330,ERR069719,ERR069770,ERR069721,ERR129199,ERR069740,ERR124237,ERR129201
10	16c	31	tmk	ERR129044,ERR129194
8	16c	39	crcB_2	ERR129181
8	5	39	crcB_2	ERR129105,ERR129195,ERR065301,ERR065342,ERR067998,ERR124320,ERR069818,ERR069714,ERR129053,ERR069799
8	7	39	crcB_2	ERR124228,ERR067961,ERR124292,ERR124312,ERR069718,ERR124224,ERR124243,ERR124276,ERR129067,ERR129073
8	16b	39	crcB_2	ERR129102,ERR129071
1	1	133	group_2857	ERR129088
16b	16h	917	group_2998	ERR067982
12	16c	1220	group_2998	ERR124271,ERR129041,ERR124289,ERR124309,ERR129184,ERR065318
1	16h	161	group_2998	ERR129162,ERR065958
16b	8	29	group_7420	ERR069711
16b	3	50	group_7420	ERR065332,ERR069725,ERR129026,ERR069698,ERR124274,ERR124283,ERR065293,ERR124221,ERR068026,ERR065297,ERR129061,ERR065320,ERR069724,ERR068042,ERR124249,ERR129198,ERR067978,ERR068032,ERR124239,ERR068028,ERR124272,ERR129054,ERR129060,ERR068049
9	16c	18	group_7420	ERR129044,ERR129045,ERR129194
16b	7	50	group_7420	ERR124228,ERR067961,ERR124292,ERR124312,ERR069718,ERR124224,ERR124243,ERR124276,ERR129067,ERR129073
5	16b	581	group_158	ERR129136,ERR129202,ERR129138,ERR129030
8	8	907	group_158	ERR129175
5	8	581	group_158	ERR129108,ERR129121,ERR129125
2	16b	1553	group_158	ERR129151
16b	16f	581	group_158	ERR069769
2	9	1553	group_158	ERR069807,ERR069830
16b	16h	581	group_158	ERR129162
16b	16b	581	group_158	ERR065290
5	16c	581	group_158	ERR068014,ERR065325
2	16d	1553	group_158	ERR069813
5	9	581	group_158	ERR067973
2	16c	1553	group_158	ERR129187,ERR129047
2	2	1553	group_158	ERR129159,ERR129154,ERR069707
1	9	622	group_148	ERR129161,ERR129208,ERR124245,ERR065348,ERR129100
1	1	622	group_148	ERR129164,ERR129088,ERR069683,ERR129126,ERR129199
16b	5	339	mraY	ERR065301,ERR065342,ERR124320,ERR069818,ERR069799
9	2	112	mraY	ERR129037
9	16d	112	mraY	ERR069819,ERR065295,ERR069813,ERR065957
9	16c	112	mraY	ERR124247
16c	15	429	mraY	ERR068003
6	9	184	mraY	ERR065955
9	6	112	mraY	ERR129176,ERR069786
3	9	429	mraY	ERR065339
3	16g	429	mraY	ERR069742,ERR065352
9	13	112	mraY	ERR069709,ERR068001,ERR065353,ERR065953,ERR069710,ERR129027,ERR068004,ERR069734,ERR129092,ERR069827,ERR069788,ERR069784,ERR068043,ERR129115
16c	8	429	mraY	ERR129118
8	6	125	smc	ERR129043,ERR124227
16b	16c	25	smc	ERR069764,ERR065325,ERR065960,ERR069792,ERR068031,ERR065354,ERR069737,ERR129050,ERR129045,ERR069692,ERR069723,ERR065299,ERR069697,ERR069810,ERR068009,ERR069808
5	16b	2313	smc	ERR129057,ERR124311
16b	15	25	smc	ERR068003,ERR129062
5	6	2313	smc	ERR069786
5	16h	2313	smc	ERR124252
16b	5	227	smc	ERR129053
8	15	206	smc	ERR124222,ERR129075,ERR069706,ERR069843,ERR124255
8	16b	125	smc	ERR129028
5	13	2313	smc	ERR065353,ERR065953
8	16e	125	smc	ERR067975
16b	5	25	smc	ERR129053
5	5	2313	smc	ERR129053
9	7	71	smc	ERR124228,ERR067961,ERR124292,ERR124312,ERR069718,ERR124224,ERR124243,ERR124276,ERR129067,ERR129073
16b	16c	227	smc	ERR069764,ERR065325,ERR065960,ERR069792,ERR068031,ERR065354,ERR069737,ERR129050,ERR129045,ERR069692,ERR069723,ERR065299,ERR069697,ERR069810,ERR068009,ERR069808
5	8	2313	smc	ERR069761
16b	16c	1299	smc	ERR129187,ERR129047
8	14	125	smc	ERR069700,ERR067966,ERR067969,ERR124314,ERR069787,ERR069744,ERR069825,ERR129128,ERR069763,ERR069747,ERR124303,ERR065963
16h	4	734	smc	ERR069738,ERR068037,ERR129096,ERR069686,ERR069688,ERR124307,ERR129204,ERR067996,ERR065343,ERR067995,ERR124248,ERR065338,ERR069767,ERR124260,ERR069778,ERR129156,ERR069836,ERR067965,ERR124318,ERR069783,ERR067987
5	7	2313	smc	ERR124228
9	13	71	smc	ERR065353,ERR065953,ERR069710,ERR129027,ERR068004,ERR124223,ERR069734,ERR129092,ERR069759,ERR069827,ERR069741,ERR069788,ERR069784,ERR068043,ERR129115,ERR067979
16b	15	227	smc	ERR068003,ERR129062
8	12	64	smc	ERR067993,ERR069803,ERR069841
5	16c	2313	smc	ERR069773,ERR065302,ERR129040,ERR069773,ERR065302,ERR129040,ERR124218,ERR069820,ERR129084
6	6	212	group_693	ERR069786,ERR069685,ERR069798,ERR065971,ERR129168,ERR129172,ERR065969,ERR069693,ERR069779
